indice,arquivo,etapa,media_r,media_g,media_b,pixels_usados
1,banana_001.png,boa,254.12,198.24,0.0,2000
2,banana_002.png,boa,254.59,195.32,0.0,2000
3,banana_003.png,boa,254.45,191.96,0.0,2000
4,banana_004.png,boa,254.21,189.26,0.0,2000
5,banana_005.png,boa,254.16,187.26,0.0,2000
6,banana_006.png,boa,254.03,185.9,0.0,2000
7,banana_007.png,boa,252.79,184.61,0.0,2000
8,banana_008.png,boa,252.72,183.36,0.0,2000
9,banana_009.png,boa,251.71,182.21,0.0,2000
10,banana_010.png,boa,252.53,181.53,0.0,2000
11,banana_011.png,boa,252.37,181.42,0.0,2000
12,banana_012.png,intermediaria,252.5,181.44,0.0,2000
13,banana_013.png,intermediaria,252.92,181.87,0.0,2000
14,banana_014.png,intermediaria,253.15,182.68,0.0,2000
15,banana_015.png,intermediaria,253.6,182.48,0.0,2000
16,banana_016.png,intermediaria,253.88,181.29,0.04,2000
17,banana_017.png,intermediaria,251.9,175.17,0.37,2000
18,banana_018.png,intermediaria,243.33,161.31,1.59,2000
19,banana_019.png,intermediaria,215.02,131.99,3.85,2000
20,banana_020.png,intermediaria,171.21,95.09,4.15,2000
21,banana_021.png,intermediaria,136.2,70.53,1.98,2000
22,banana_022.png,deteriorada,134.04,69.11,1.95,2000
23,banana_023.png,deteriorada,86.7,41.28,0.18,2000
24,banana_024.png,deteriorada,69.52,34.68,3.35,2000
25,banana_025.png,deteriorada,44.25,25.68,8.29,2000
26,banana_026.png,deteriorada,40.61,23.71,8.87,2000
27,banana_027.png,deteriorada,37.11,21.96,9.69,2000
28,banana_028.png,deteriorada,33.21,20.66,9.53,2000
29,banana_029.png,deteriorada,31.86,20.16,9.4,2000
30,banana_030.png,deteriorada,30.94,19.18,9.73,2000
31,banana_031.png,deteriorada,30.87,19.73,10.09,2000
32,banana_032.png,deteriorada,37.07,22.72,8.79,2000
