"indice","arquivo_novo","arquivo_original","indice_original"
"1","morango_001.png","Image1.png","1"
"2","morango_002.png","Image9.png","9"
"3","morango_003.png","Image17.png","17"
"4","morango_004.png","Image23.png","23"
"5","morango_005.png","Image31.png","31"
"6","morango_006.png","Image39.png","39"
"7","morango_007.png","Image47.png","47"
"8","morango_008.png","Image55.png","55"
"9","morango_009.png","Image61.png","61"
"10","morango_010.png","Image69.png","69"
"11","morango_011.png","Image77.png","77"
"12","morango_012.png","Image85.png","85"
"13","morango_013.png","Image93.png","93"
"14","morango_014.png","Image99.png","99"
"15","morango_015.png","Image107.png","107"
"16","morango_016.png","Image115.png","115"
"17","morango_017.png","Image123.png","123"
"18","morango_018.png","Image131.png","131"
"19","morango_019.png","Image139.png","139"
"20","morango_020.png","Image145.png","145"
"21","morango_021.png","Image153.png","153"
"22","morango_022.png","Image161.png","161"
"23","morango_023.png","Image169.png","169"
"24","morango_024.png","Image177.png","177"
"25","morango_025.png","Image183.png","183"
"26","morango_026.png","Image191.png","191"
"27","morango_027.png","Image199.png","199"
"28","morango_028.png","Image207.png","207"
"29","morango_029.png","Image215.png","215"
"30","morango_030.png","Image221.png","221"
"31","morango_031.png","Image229.png","229"
"32","morango_032.png","Image237.png","237"
