"indice","arquivo","etapa","origem","indice_original"
"1","tomate_001.png","boa","FruQ-multi\tomatoQ\Good\Image1 (2).png","1"
"2","tomate_002.png","boa","FruQ-multi\tomatoQ\Good\Image41 (2).png","41"
"3","tomate_003.png","boa","FruQ-multi\tomatoQ\Good\Image81 (2).png","81"
"4","tomate_004.png","boa","FruQ-multi\tomatoQ\Good\Image139.png","139"
"5","tomate_005.png","boa","FruQ-multi\tomatoQ\Good\Image199.png","199"
"6","tomate_006.png","boa","FruQ-multi\tomatoQ\Good\Image311.png","311"
"7","tomate_007.png","boa","FruQ-multi\tomatoQ\Good\Image429.png","429"
"8","tomate_008.png","boa","FruQ-multi\tomatoQ\Good\Image549.png","549"
"9","tomate_009.png","boa","FruQ-multi\tomatoQ\Good\Image669.png","669"
"10","tomate_010.png","boa","FruQ-multi\tomatoQ\Good\Image789.png","789"
"11","tomate_011.png","boa","FruQ-multi\tomatoQ\Good\Image909.png","909"
"12","tomate_012.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image83.png","83"
"13","tomate_013.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image249.png","249"
"14","tomate_014.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image347.png","347"
"15","tomate_015.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image1787.png","1787"
"16","tomate_016.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image1885.png","1885"
"17","tomate_017.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image1983.png","1983"
"18","tomate_018.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image2081.png","2081"
"19","tomate_019.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image2177.png","2177"
"20","tomate_020.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image2275.png","2275"
"21","tomate_021.png","intermediaria","FruQ-multi\tomatoQ\Mild\Image2373.png","2373"
"22","tomate_022.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image1.png","1"
"23","tomate_023.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image183 (2).png","183"
"24","tomate_024.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image277.png","277"
"25","tomate_025.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image373 (2).png","373"
"26","tomate_026.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image467.png","467"
"27","tomate_027.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image639.png","639"
"28","tomate_028.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image829.png","829"
"29","tomate_029.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image2511.png","2511"
"30","tomate_030.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image2701.png","2701"
"31","tomate_031.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image2891.png","2891"
"32","tomate_032.png","deteriorada","FruQ-multi\tomatoQ\Rotten\Image3081.png","3081"
