"indice","arquivo","etapa","origem","indice_original"
"1","banana_001.png","boa","FruQ-multi\BananaDB\Good\Image1.png","1"
"2","banana_002.png","boa","FruQ-multi\BananaDB\Good\Image37.png","37"
"3","banana_003.png","boa","FruQ-multi\BananaDB\Good\Image73.png","73"
"4","banana_004.png","boa","FruQ-multi\BananaDB\Good\Image107.png","107"
"5","banana_005.png","boa","FruQ-multi\BananaDB\Good\Image143.png","143"
"6","banana_006.png","boa","FruQ-multi\BananaDB\Good\Image179.png","179"
"7","banana_007.png","boa","FruQ-multi\BananaDB\Good\Image215.png","215"
"8","banana_008.png","boa","FruQ-multi\BananaDB\Good\Image251.png","251"
"9","banana_009.png","boa","FruQ-multi\BananaDB\Good\Image285.png","285"
"10","banana_010.png","boa","FruQ-multi\BananaDB\Good\Image321.png","321"
"11","banana_011.png","boa","FruQ-multi\BananaDB\Good\Image357.png","357"
"12","banana_012.png","intermediaria","FruQ-multi\BananaDB\mild\Image359.png","359"
"13","banana_013.png","intermediaria","FruQ-multi\BananaDB\mild\Image381.png","381"
"14","banana_014.png","intermediaria","FruQ-multi\BananaDB\mild\Image401.png","401"
"15","banana_015.png","intermediaria","FruQ-multi\BananaDB\mild\Image423.png","423"
"16","banana_016.png","intermediaria","FruQ-multi\BananaDB\mild\Image443.png","443"
"17","banana_017.png","intermediaria","FruQ-multi\BananaDB\mild\Image465.png","465"
"18","banana_018.png","intermediaria","FruQ-multi\BananaDB\mild\Image485.png","485"
"19","banana_019.png","intermediaria","FruQ-multi\BananaDB\mild\Image507.png","507"
"20","banana_020.png","intermediaria","FruQ-multi\BananaDB\mild\Image527.png","527"
"21","banana_021.png","intermediaria","FruQ-multi\BananaDB\mild\Image549.png","549"
"22","banana_022.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image551.png","551"
"23","banana_023.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image619.png","619"
"24","banana_024.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image685.png","685"
"25","banana_025.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image753.png","753"
"26","banana_026.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image819.png","819"
"27","banana_027.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image887.png","887"
"28","banana_028.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image955.png","955"
"29","banana_029.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image1021.png","1021"
"30","banana_030.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image1089.png","1089"
"31","banana_031.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image1223.png","1223"
"32","banana_032.png","deteriorada","FruQ-multi\BananaDB\Rotten\Image1291.png","1291"
