indice,arquivo,etapa,media_r,media_g,media_b,pixels_usados
1,tomate_001.png,boa,245.28,111.92,52.45,41954
2,tomate_002.png,boa,244.6,111.08,52.2,41993
3,tomate_003.png,boa,244.54,111.9,52.78,41894
4,tomate_004.png,boa,243.48,112.03,52.38,41662
5,tomate_005.png,boa,242.04,112.87,52.66,41680
6,tomate_006.png,boa,217.36,139.01,28.46,85329
7,tomate_007.png,boa,217.04,138.32,28.58,85079
8,tomate_008.png,boa,216.5,138.13,29.24,84781
9,tomate_009.png,boa,214.16,134.85,26.26,52061
10,tomate_010.png,boa,212.8,135.09,30.22,55339
11,tomate_011.png,boa,213.03,136.0,31.66,58080
12,tomate_012.png,intermediaria,171.53,74.4,49.66,160000
13,tomate_013.png,intermediaria,240.77,113.78,53.58,40537
14,tomate_014.png,intermediaria,239.7,116.08,54.07,40466
15,tomate_015.png,intermediaria,214.97,139.46,33.09,65611
16,tomate_016.png,intermediaria,214.66,139.06,30.62,83478
17,tomate_017.png,intermediaria,214.43,137.13,30.7,83701
18,tomate_018.png,intermediaria,213.56,136.05,30.2,83942
19,tomate_019.png,intermediaria,212.08,129.67,30.55,83846
20,tomate_020.png,intermediaria,205.16,120.65,31.21,82839
21,tomate_021.png,intermediaria,195.65,113.05,32.22,81917
22,tomate_022.png,deteriorada,213.71,115.29,61.29,36578
23,tomate_023.png,deteriorada,206.54,115.39,64.63,35484
24,tomate_024.png,deteriorada,99.16,59.43,44.91,160000
25,tomate_025.png,deteriorada,195.24,112.66,67.08,33349
26,tomate_026.png,deteriorada,58.52,40.06,30.1,160000
27,tomate_027.png,deteriorada,187.11,114.34,73.27,29626
28,tomate_028.png,deteriorada,179.78,116.15,76.28,27139
29,tomate_029.png,deteriorada,178.9,103.48,34.02,80950
30,tomate_030.png,deteriorada,162.4,96.52,37.46,79262
31,tomate_031.png,deteriorada,154.49,104.06,43.04,76430
32,tomate_032.png,deteriorada,142.26,107.81,56.24,72517
