indice,arquivo,etapa,media_r,media_g,media_b,pixels_usados
1,banana_001.png,boa,217.26,181.8,77.69,45857
2,banana_002.png,boa,218.99,183.42,89.67,50354
3,banana_003.png,boa,220.21,185.75,100.41,55262
4,banana_004.png,boa,221.4,187.58,109.24,60388
5,banana_005.png,boa,222.79,186.85,107.59,59490
6,banana_006.png,boa,224.9,183.87,93.76,52345
7,banana_007.png,boa,220.58,181.82,94.34,52713
8,banana_008.png,boa,221.16,180.09,91.77,51730
9,banana_009.png,boa,219.43,177.4,88.44,50267
10,banana_010.png,boa,215.93,169.17,71.43,43949
11,banana_011.png,boa,210.12,163.87,69.44,43312
12,banana_012.png,intermediaria,209.73,162.46,66.0,42322
13,banana_013.png,intermediaria,205.38,156.4,60.92,40875
14,banana_014.png,intermediaria,197.85,146.08,48.49,37743
15,banana_015.png,intermediaria,188.71,136.61,43.89,36659
16,banana_016.png,intermediaria,179.62,126.26,35.47,34950
17,banana_017.png,intermediaria,166.23,114.02,29.53,33768
18,banana_018.png,intermediaria,158.57,106.28,26.82,33296
19,banana_019.png,intermediaria,146.4,96.16,22.71,32454
20,banana_020.png,intermediaria,135.98,89.06,24.05,32799
21,banana_021.png,intermediaria,125.6,81.0,22.39,32489
22,banana_022.png,deteriorada,124.94,80.37,21.78,32370
23,banana_023.png,deteriorada,102.58,65.98,22.71,32503
24,banana_024.png,deteriorada,86.55,57.03,24.75,32663
25,banana_025.png,deteriorada,63.74,46.3,28.4,32193
26,banana_026.png,deteriorada,64.62,51.29,38.4,33903
27,banana_027.png,deteriorada,62.46,51.56,41.98,34546
28,banana_028.png,deteriorada,72.63,63.64,55.63,37608
29,banana_029.png,deteriorada,79.09,71.16,64.19,39792
30,banana_030.png,deteriorada,91.6,84.64,78.99,44365
31,banana_031.png,deteriorada,80.35,72.94,66.79,40393
32,banana_032.png,deteriorada,57.91,47.46,36.47,33573
